League of Legends,12885.0
Dota 2,5843.0
Hearthstone: Heroes of Warcraft,3290.0
Smite,838.0
Metal Slug X: Super Vehicle - 001,547.0
Counter-Strike: Global Offensive,305.0
Diablo III: Reaper of Souls,29.0
