league of legends,16441.0
smite,8888.0
counter-strike: global offensive,6957.0
hearthstone: heroes of warcraft,3958.0
heroes of the storm,1814.0
dota 2,1678.0
fifa 15,1453.0
pokémon gold/silver,72.0
cod aw,3.0
